date,city,driving_waze,state
2021-01-22,Shah Alam,-44.0,Selangor
2021-01-23,Shah Alam,-56.99999999999999,Selangor
2021-01-24,Shah Alam,-56.00000000000001,Selangor
2021-01-25,Shah Alam,-28.000000000000004,Selangor
2021-01-26,Shah Alam,-33.0,Selangor
2021-01-27,Shah Alam,-27.0,Selangor
2021-01-28,Shah Alam,-43.0,Selangor
2021-01-29,Shah Alam,-24.0,Selangor
2021-01-30,Shah Alam,-47.0,Selangor
2021-01-31,Shah Alam,-56.99999999999999,Selangor
2021-02-01,Shah Alam,-22.0,Selangor
2021-02-02,Shah Alam,-28.000000000000004,Selangor
2021-02-03,Shah Alam,-26.0,Selangor
2021-02-04,Shah Alam,-25.0,Selangor
2021-02-05,Shah Alam,-30.0,Selangor
2021-02-06,Shah Alam,-41.0,Selangor
2021-02-07,Shah Alam,-47.0,Selangor
2021-02-08,Shah Alam,-13.0,Selangor
2021-02-09,Shah Alam,-17.0,Selangor
2021-02-10,Shah Alam,-16.0,Selangor
2021-02-11,Shah Alam,-27.0,Selangor
2021-02-12,Shah Alam,-56.00000000000001,Selangor
2021-02-13,Shah Alam,-46.0,Selangor
2021-02-14,Shah Alam,-46.0,Selangor
2021-02-15,Shah Alam,-26.0,Selangor
2021-02-16,Shah Alam,-23.0,Selangor
2021-02-17,Shah Alam,-28.000000000000004,Selangor
2021-02-18,Shah Alam,-27.0,Selangor
2021-02-19,Shah Alam,-29.0,Selangor
2021-02-20,Shah Alam,-31.0,Selangor
2021-02-21,Shah Alam,-35.0,Selangor
2021-02-22,Shah Alam,-16.0,Selangor
2021-02-23,Shah Alam,-15.0,Selangor
2021-02-24,Shah Alam,-14.000000000000002,Selangor
2021-02-25,Shah Alam,-9.0,Selangor
2021-02-26,Shah Alam,-15.0,Selangor
2021-02-27,Shah Alam,-21.0,Selangor
2021-02-28,Shah Alam,-22.0,Selangor
2021-03-01,Shah Alam,-7.000000000000001,Selangor
2021-03-02,Shah Alam,-9.0,Selangor
2021-03-03,Shah Alam,-8.0,Selangor
2021-03-04,Shah Alam,-7.000000000000001,Selangor
2021-03-05,Shah Alam,-7.000000000000001,Selangor
2021-03-06,Shah Alam,-5.0,Selangor
2021-03-07,Shah Alam,-4.0,Selangor
2021-03-08,Shah Alam,0.0,Selangor
2021-03-09,Shah Alam,2.0,Selangor
2021-03-10,Shah Alam,2.0,Selangor
2021-03-11,Shah Alam,1.0,Selangor
2021-03-12,Shah Alam,-2.0,Selangor
2021-03-13,Shah Alam,1.0,Selangor
2021-03-14,Shah Alam,-3.0,Selangor
2021-03-15,Shah Alam,8.0,Selangor
2021-03-16,Shah Alam,-7.000000000000001,Selangor
2021-03-17,Shah Alam,1.0,Selangor
2021-03-18,Shah Alam,4.0,Selangor
2021-03-19,Shah Alam,-2.0,Selangor
2021-03-20,Shah Alam,4.0,Selangor
2021-03-21,Shah Alam,2.0,Selangor
2021-03-22,Shah Alam,3.0,Selangor
2021-03-23,Shah Alam,4.0,Selangor
2021-03-24,Shah Alam,7.000000000000001,Selangor
2021-03-25,Shah Alam,2.0,Selangor
2021-03-26,Shah Alam,0.0,Selangor
2021-03-27,Shah Alam,1.0,Selangor
2021-03-28,Shah Alam,9.0,Selangor
2021-03-29,Shah Alam,15.0,Selangor
2021-03-30,Shah Alam,6.0,Selangor
2021-03-31,Shah Alam,16.0,Selangor
2021-04-01,Shah Alam,15.0,Selangor
2021-04-02,Shah Alam,2.0,Selangor
2021-04-03,Shah Alam,13.0,Selangor
2021-04-04,Shah Alam,12.0,Selangor
2021-04-05,Shah Alam,14.000000000000002,Selangor
2021-04-06,Shah Alam,11.0,Selangor
2021-04-07,Shah Alam,17.0,Selangor
2021-04-08,Shah Alam,11.0,Selangor
2021-04-09,Shah Alam,11.0,Selangor
2021-04-10,Shah Alam,13.0,Selangor
2021-04-11,Shah Alam,16.0,Selangor
2021-04-12,Shah Alam,27.0,Selangor
2021-04-13,Shah Alam,-3.0,Selangor
2021-04-14,Shah Alam,3.0,Selangor
2021-04-15,Shah Alam,6.0,Selangor
2021-04-16,Shah Alam,-3.0,Selangor
2021-04-17,Shah Alam,-19.0,Selangor
2021-04-18,Shah Alam,-10.0,Selangor
2021-04-19,Shah Alam,5.0,Selangor
2021-04-20,Shah Alam,2.0,Selangor
2021-04-21,Shah Alam,2.0,Selangor
2021-04-22,Shah Alam,4.0,Selangor
2021-04-23,Shah Alam,-6.0,Selangor
2021-04-24,Shah Alam,-5.0,Selangor
2021-04-25,Shah Alam,-8.0,Selangor
2021-04-26,Shah Alam,-1.0,Selangor
2021-04-27,Shah Alam,5.0,Selangor
2021-04-28,Shah Alam,12.0,Selangor
2021-04-29,Shah Alam,-6.0,Selangor
2021-04-30,Shah Alam,-2.0,Selangor
2021-05-01,Shah Alam,-16.0,Selangor
2021-05-02,Shah Alam,2.0,Selangor
2021-05-03,Shah Alam,12.0,Selangor
2021-05-04,Shah Alam,9.0,Selangor
2021-05-05,Shah Alam,48.0,Selangor
2021-05-06,Shah Alam,-8.0,Selangor
2021-05-07,Shah Alam,-17.0,Selangor
2021-05-08,Shah Alam,-31.0,Selangor
2021-05-09,Shah Alam,-32.0,Selangor
2021-05-10,Shah Alam,-8.0,Selangor
2021-05-11,Shah Alam,-6.0,Selangor
2021-05-12,Shah Alam,-15.0,Selangor
2021-05-13,Shah Alam,-63.0,Selangor
2021-05-14,Shah Alam,-67.0,Selangor
2021-05-15,Shah Alam,-53.0,Selangor
2021-05-16,Shah Alam,-45.0,Selangor
2021-05-17,Shah Alam,-20.0,Selangor
2021-05-18,Shah Alam,-23.0,Selangor
2021-05-19,Shah Alam,-24.0,Selangor
2021-05-20,Shah Alam,-20.0,Selangor
2021-05-21,Shah Alam,-31.0,Selangor
